"employeeCode,fullName,username,password,role,uanNo,esiNo"
"E001,John Doe,john.doe,Password@123,EMPLOYEE,123456789012,1234567890"
"E002,Jane Smith,jane.smith,Password@123,EMPLOYEE,234567890123,2345678901"
"E003,Alice Johnson,alice.j,Password@123,EMPLOYEE,345678901234,3456789012"
"E004,Robert Brown,robert.brown,Password@123,EMPLOYEE,456789012345,4567890123"
"E005,Emily Davis,emily.davis,Password@123,EMPLOYEE,567890123456,5678901234"
"E006,Michael Wilson,michael.w,Password@123,EMPLOYEE,678901234567,6789012345"
"E007,Linda Clark,linda.c,Password@123,EMPLOYEE,789012345678,7890123456"
"E008,David Lee,david.lee,Password@123,EMPLOYEE,890123456789,8901234567"
"E009,Olivia Harris,olivia.h,Password@123,EMPLOYEE,901234567890,9012345678"
"E010,William Young,will.young,Password@123,EMPLOYEE,012345678901,0123456789"
"E011,William Kale,will.kale,Password@123,EMPLOYEE,,0123456789"
