employeeCode,esiNo,uanNo,fullName,fatherName,sex,role
EMP001,ESI100001,UAN100000000001,Rahul Sharma,Mahesh Sharma,Male,EMPLOYEE
EMP002,ESI100002,UAN100000000002,Priya Patil,Suresh Patil,Female,EMPLOYEE
EMP003,,UAN100000000003,Amit Verma,Rakesh Verma,Male,EMPLOYEE
EMP004,ESI100004,UAN100000000004,Neha Singh,Rajesh Singh,Female,EMPLOYEE
EMP005,ESI100005,UAN100000000005,Rohit Joshi,Anil Joshi,Male,EMPLOYEE
EMP006,,UAN100000000006,Pooja Deshmukh,Vijay Deshmukh,Female,EMPLOYEE
EMP007,ESI100007,UAN100000000007,Karan Yadav,Mohan Yadav,Male,EMPLOYEE
EMP008,ESI100008,UAN100000000008,Sneha Kulkarni,Sunil Kulkarni,Female,EMPLOYEE
EMP009,ESI100009,UAN100000000009,Vikram Gupta,Ashok Gupta,Male,EMPLOYEE
EMP010,,UAN100000000010,Anjali Mehta,Ramesh Mehta,Female,EMPLOYEE
